Name,DOB,Email,phone_number,Country,location,Address,Education,Gender,Zip_Code,skillsofusers,File_path
Penelope Jordan,27-12-1957,penelope.jordan@bilearner.com,001-864-857-4470x9476,United States,"Columbus, Ohio",93527 Sullivan Locks,Bachelors,Female,73691,"['data visualization', 'Python', 'machine learning', 'R', 'Machine Learning', 'AI', 'Excel', 'decision making', 'Tableau', 'Data Visualization', 'python']",archive (5)/data/data/BUSINESS-DEVELOPMENT/28337049.pdf
Marlon Stanton,21-04-1957,marlon.stanton@bilearner.com,(970)605-2941,United States,"Lincoln, Nebraska",219 Andrew Village,Bachelors,Female,66973,"['communication', 'security', 'network security', 'VPN', 'VLAN', 'networking', 'Network Security', 'Security', 'IP', 'NAT', 'Network Address Translation']",archive (5)/data/data/HR/18155310.pdf
Rosemary Thornton,03-10-1970,rosemary.thornton@bilearner.com,+1-993-921-5780x860,United States,"Philadelphia, Pennsylvania",86077 Wallace Prairie,Masters,Female,18379,"['Javascript', 'Python', 'Matlab', 'HTML', 'AWS', 'JAVA', 'SQL', 'CSS']",archive (5)/data/data/CHEF/10001727.pdf
Ayanna Lutz,06-11-1999,ayanna.lutz@bilearner.com,633.392.8895x235,United States,"Tallahassee, Florida",36859 Jennifer Valley Apt. 033,Masters,Male,91517,"['gpa', 'salesforce', 'team leadership', 'marketing strategy', 'go', 'networking', 'leadership', 'google analytics', 'problem solving', 'research', 'marketing', 'project management', 'strategic planning', 'market research', 'editing', 'sales']",archive (5)/data/data/DIGITAL-MEDIA/16536141.pdf
Case Hahn,05-05-1988,case.hahn@bilearner.com,001-515-665-8203,United States,"Fort Wayne, Indiana",520 Melinda Point,Masters,Male,1057,"['Javascript', 'Python', 'Matlab', 'HTML', 'AWS', 'JAVA', 'SQL', 'CSS']",archive (5)/data/data/HR/20993320.pdf
Asia Rivers,09-05-1999,asia.rivers@bilearner.com,832-694-2799x09360,United States,"Fayetteville, North Carolina",06052 Carol Spurs,Masters,Male,20854,"['communication', 'critical thinking', 'excel', 'cad', 'budgeting', 'leadership', 'microsoft excel', 'project management', 'gpa']",archive (5)/data/data/ENGINEERING/36517781.pdf
Alexa Mercer,07-04-1991,alexa.mercer@bilearner.com,001-306-803-9155x73049,United States,"San Diego, California",5199 Nunez Mission Suite 126,Bachelors,Male,39014,"['communication', 'mentoring', 'public relations', 'leadership', 'research', 'writing skills', 'project management', 'collaboration', 'public speaking', 'security', 'sales', 'event planning']",archive (5)/data/data/AGRICULTURE/40882926.pdf
Jade Sloan,21-11-1983,jade.sloan@bilearner.com,+1-677-930-3580x05361,United States,"Durham, North Carolina",118 Hunter Ford,Bachelors,Male,10223,"['Python', 'Matlab', 'Java', 'marketing strategy', 'marketing', 'IDE', 'Deep Learning', 'Linux']",archive (5)/data/data/ENGINEERING/21629057.pdf
Araceli Castillo,25-03-1971,araceli.castillo@bilearner.com,001-622-430-6692x188,United States,"El Paso, Texas",28582 Gonzales Mountain,Masters,Female,85441,"['networking', 'base', 'project coordination', 'sales', 'customer service']",archive (5)/data/data/BANKING/41651672.pdf
Maximilian Carney,11-12-1951,maximilian.carney@bilearner.com,310-353-2829x848,United States,"Amarillo, Texas",05435 Barbara Ways,Bachelors,Male,96303,"['communication', 'customer relations', 'public relations', 'base', 'problem solving', 'research', 'market research', 'business development', 'client relations', 'active listening', 'sales', 'organizational skills', 'customer service']",archive (5)/data/data/BUSINESS-DEVELOPMENT/17095812.pdf
Ayanna Bowman,30-10-2000,ayanna.bowman@bilearner.com,570-609-8420x270,United States,"Chula Vista, California",5806 Michael Islands,Masters,Male,40706,"['automation', 'communication', 'Java', 'Sql', 'JSON', 'analytical skills', 'base', 'SQL', 'JS', 'collaboration', 'C++', 'XML', 'team building']",archive (5)/data/data/CONSTRUCTION/21363048.pdf
Lia Blair,18-10-1961,lia.blair@bilearner.com,(689)580-5810x2837,United States,"St. Petersburg, Florida",3457 Rebecca Land Apt. 669,Bachelors,Female,48955,"['communication', 'networking', 'problem solving', 'research', 'marketing', 'project management', 'business development', 'creativity', 'san', 'sales', 'customer service']",archive (5)/data/data/DIGITAL-MEDIA/28609364.pdf
Marcelo Flowers,19-02-1986,marcelo.flowers@bilearner.com,938.282.2260x86732,United States,"Huntsville, Alabama",2575 Brown Crest,Masters,Female,83033,"['communication', 'excel', 'go', 'public relations', 'monitoring', 'media relations', 'problem solving', 'research', 'marketing', 'project management', 'bi', 'business development', 'sales', 'event planning']",archive (5)/data/data/PUBLIC-RELATIONS/41590605.pdf
Antwan Gay,29-09-1973,antwan.gay@bilearner.com,893-260-2615x52676,United States,"Fort Wayne, Indiana",431 Curtis Light,Masters,Male,14556,"['training', 'supply chain management', 'leadership']",archive (5)/data/data/AVIATION/82738323.pdf
Jaydan Hoffman,16-06-1944,jaydan.hoffman@bilearner.com,914.430.8312x907,United States,"Oakland, California",722 Burgess Mission Apt. 431,Bachelors,Female,76366,"['communication', 'budgeting', 'adaptability', 'leadership', 'base', 'interpersonal skills', 'marketing', 'project management', 'attention to detail', 'strategic planning', 'sales']",archive (5)/data/data/FINANCE/19540089.pdf
Faith Golden,25-03-1957,faith.golden@bilearner.com,+1-963-804-5567x83835,United States,"New York, New York",852 Robles Causeway Suite 502,Bachelors,Female,57512,"['Scripting', 'Jenkins', 'monitoring', 'Operating System', 'AWS', 'Shell Scripting', 'SQL', 'sales', 'OS', 'LINUX', 'UNIX', 'Monitoring']",archive (5)/data/data/HR/19336728.pdf
Kaylee Harvey,18-02-1983,kaylee.harvey@bilearner.com,001-302-442-8178,United States,"McKinney, Texas",17661 Douglas Corner Suite 593,Masters,Female,31008,"['communication', 'time management', 'excel', 'bi', 'marketing', 'microsoft excel', 'training', 'sales']",archive (5)/data/data/ACCOUNTANT/13491889.pdf
Kristen Peters,09-09-1964,kristen.peters@bilearner.com,+1-246-987-5185x26246,United States,"Buffalo, New York",635 David Circles,Bachelors,Female,64961,"['communication', 'research', 'problem solving', 'negotiation', 'risk management', 'training', 'customer service']",archive (5)/data/data/AUTOMOBILE/15100547.pdf
Hadassah Gallegos,21-08-1951,hadassah.gallegos@bilearner.com,(755)286-7296,United States,"Santa Ana, California",299 Victoria Lodge,Bachelors,Female,1269,"['excel', 'creativity', 'cd', 'automation', 'teamwork', 'ip', 'business development', 'automated testing', 'san', 'security', 'training', 'vpn', 'communication', 'sla', 'tcp', 'leadership', 'project management', 'collaboration', 'html', 'analytical skills', 'networking', 'research', 'interpersonal skills', 'voip', 'customer service']",archive (5)/data/data/INFORMATION-TECHNOLOGY/17641670.pdf
Ariel Cervantes,27-04-1963,ariel.cervantes@bilearner.com,001-836-216-3254x88107,United States,"Anaheim, California",53738 Carla Keys Apt. 207,Bachelors,Female,73596,['Leadership'],archive (5)/data/data/SALES/23032182.pdf
Aubree Villanueva,05-07-1959,aubree.villanueva@bilearner.com,905-367-4894,United States,"Nashville, Tennessee",7298 Harper Parkway Suite 097,Masters,Female,35263,"['communication', 'mentoring', 'security', 'budgeting', 'empathy', 'leadership', 'decision making', 'training']",archive (5)/data/data/TEACHER/79663360.pdf
Aspen Dixon,17-07-1996,aspen.dixon@bilearner.com,919-455-9177x41651,United States,"Anaheim, California",5098 Timothy Extensions Apt. 461,Bachelors,Female,94592,"['ar', 'communication', 'gpa', 'excel', 'monitoring', 'budgeting', 'leadership', 'training', 'sales']",archive (5)/data/data/ACCOUNTANT/37370455.pdf
Keenan Jensen,20-10-1999,keenan.jensen@bilearner.com,001-459-312-0982x843,United States,"Virginia Beach, Virginia",107 Craig Rue,Masters,Female,60295,"['communication', 'leadership', 'research', 'writing skills', 'organizational leadership', 'marketing', 'relationship building', 'business development', 'data analysis', 'training', 'sales', 'customer service']",archive (5)/data/data/HEALTHCARE/39082090.pdf
Malakai Whitehead,19-11-1947,malakai.whitehead@bilearner.com,(219)521-4602,United States,"Phoenix, Arizona",05609 Sean Prairie,Masters,Female,25257,"['gpa', 'excel', 'business acumen', 'operating system', 'hipaa', 'training', 'sales', 'customer service']",archive (5)/data/data/ACCOUNTANT/75286906.pdf
Parker Cunningham,27-11-1971,parker.cunningham@bilearner.com,(984)517-7772,United States,"Fort Wayne, Indiana",3015 Schneider Mountains Suite 358,Bachelors,Male,43033,"['training', 'sales', 'excel', 'problem solving']",archive (5)/data/data/AUTOMOBILE/24703983.pdf
Kadyn Herring,26-05-1980,kadyn.herring@bilearner.com,557.980.1738,United States,"Columbus, Georgia",747 Katherine Path,Masters,Male,48068,"['gpa', 'chef', 'base', 'active listening', 'sales', 'organizational skills', 'customer service']",archive (5)/data/data/CHEF/24673903.pdf
Aubree Anderson,26-10-1962,aubree.anderson@bilearner.com,(666)485-3108x301,United States,"Atlanta, Georgia",81322 Marcus Estates Suite 971,Bachelors,Male,82740,"['Training', 'Employee Relations', 'Performance Management', 'Employee engagement', 'excel', 'Sales', 'Excel', 'facilitation', 'training']",archive (5)/data/data/CONSTRUCTION/16203589.pdf
John Forbes,13-12-1957,john.forbes@bilearner.com,416.828.5816,United States,"Laredo, Texas",24725 Richards Garden Apt. 416,Masters,Male,57688,"['Database Management', 'go', 'monitoring', 'change management', 'Linux', 'incident management', 'SQL', 'VM', 'OS', 'UNIX', 'Monitoring']",archive (5)/data/data/ENGINEERING/19612167.pdf
Violet Willis,14-02-1952,violet.willis@bilearner.com,723-335-7713x24672,United States,"Atlanta, Georgia",0961 Alyssa Course Suite 025,Masters,Male,34849,"['analytical skills', 'google analytics', 'base', 'marketing', 'business acumen', 'brand development', 'sales', 'customer service']",archive (5)/data/data/DIGITAL-MEDIA/16276121.pdf
Jaime Austin,21-08-1971,jaime.austin@bilearner.com,614-977-8914x142,United States,"Modesto, California",4055 Justin Villages Apt. 529,Masters,Male,31351,"['scripting', 'vm', 'clustering', 'automation', 'unix', 'shell scripting', 'linux', 'ip', 'nfs', 'security', 'vcs', 'training', 'ftp', 'tcp', 'crisis management', 'project management', 'puppet', 'java', 'hadoop', 'monitoring', 'networking', 'base']",archive (5)/data/data/HEALTHCARE/19090468.pdf
Natalee Lane,19-07-1951,natalee.lane@bilearner.com,001-337-830-0480x14236,United States,"Nashville, Tennessee",170 Gary Hill Apt. 251,Masters,Female,17611,"['communication', 'teamwork', 'leadership', 'marketing', 'coaching', 'sales', 'gpa', 'customer service']",archive (5)/data/data/INFORMATION-TECHNOLOGY/39718499.pdf
Iris Preston,19-02-1983,iris.preston@bilearner.com,808.847.9829x19269,United States,"Pittsburgh, Pennsylvania",600 Smith Springs Suite 742,Masters,Male,93589,"['customer relations', 'process improvement', 'go', 'empathy', 'ip', 'problem solving', 'coaching', 'training', 'sales', 'customer service']",archive (5)/data/data/DIGITAL-MEDIA/20490741.pdf
Magdalena Fischer,19-11-1944,magdalena.fischer@bilearner.com,(485)476-7239x927,United States,"Albuquerque, New Mexico",77065 Christopher Shoal Suite 070,Bachelors,Male,58353,"['mentoring', 'performance metrics', 'leadership', 'base', 'strategic partnerships', 'risk management', 'coaching', 'project management', 'business development', 'facilitation', 'training', 'sales', 'resource allocation']",archive (5)/data/data/CONSULTANT/57601040.pdf
Walter Dominguez,06-05-1984,walter.dominguez@bilearner.com,+1-460-505-1581x7934,United States,"Atlanta, Georgia",323 Tiffany Garden,Bachelors,Female,61633,"['API', 'MVC', 'Excel', 'Security', 'SQL', 'IDE', 'event management']",archive (5)/data/data/ENGINEERING/54227873.pdf
Hallie Macias,25-01-1989,hallie.macias@bilearner.com,607-968-8571,United States,"San Francisco, California",223 Andrea Place Apt. 247,Masters,Male,29639,"['automation', 'communication', 'security', 'network security', 'monitoring', 'interpersonal skills', 'training', 'integration testing']",archive (5)/data/data/INFORMATION-TECHNOLOGY/91635250.pdf
Ivan Hull,06-08-1971,ivan.hull@bilearner.com,(853)681-1839x2010,United States,"Anchorage, Alaska",2446 Ashley Center,Masters,Female,6536,['analytical skills'],archive (5)/data/data/SALES/32140087.pdf
India Kemp,06-08-1972,india.kemp@bilearner.com,+1-889-953-5572x59124,United States,"Tucson, Arizona",502 Natasha Villages Apt. 352,Masters,Female,19049,"['time management', 'excel', 'chef', 'base', 'interpersonal skills', 'marketing', 'attention to detail', 'sales', 'organizational skills', 'customer service']",archive (5)/data/data/CHEF/12155206.pdf
Alice Dudley,27-02-2001,alice.dudley@bilearner.com,001-344-341-5038,United States,"Chicago, Illinois",9591 Schneider Walk Suite 917,Masters,Female,29529,"['communication', 'team leadership', 'change management', 'leadership', 'influencing', 'interpersonal skills', 'program development', 'security', 'gpa', 'organizational skills', 'customer service']",archive (5)/data/data/HEALTHCARE/29134372.pdf
Jesus Hendricks,02-11-1984,jesus.hendricks@bilearner.com,281-731-4144x12304,United States,"San Francisco, California",62131 Maria Underpass Suite 228,Bachelors,Female,36574,"['communication', 'business communication', 'leadership development', 'leadership', 'marketing', 'training', 'sales']",archive (5)/data/data/INFORMATION-TECHNOLOGY/23527321.pdf
Eli Owens,14-05-1967,eli.owens@bilearner.com,(842)242-8661x22687,United States,"Dallas, Texas",63220 Simmons Plains Apt. 164,Masters,Female,5298,"['excel', 'public relations', 'chef', 'problem solving', 'marketing', 'public speaking', 'coaching', 'san', 'training', 'sales', 'organizational skills', 'customer service', 'team building']",archive (5)/data/data/CHEF/13411858.pdf
Emelia Mcintyre,17-10-1998,emelia.mcintyre@bilearner.com,001-645-719-1963x06949,United States,"Santa Ana, California",4192 Charles Ford Suite 792,Masters,Female,38735,"['automation', 'communication', 'performance management', 'spark', 'budgeting', 'leadership', 'emotional intelligence', 'agile', 'coaching', 'strategic planning', 'san', 'conflict resolution', 'training', 'customer service', 'team building']",archive (5)/data/data/FITNESS/56286525.pdf
Jaden Bates,23-08-1991,jaden.bates@bilearner.com,(498)798-4755,United States,"Huntington Beach, California",40952 Christina Pines,Bachelors,Female,42542,"['Java', 'JAVA', 'SQL', 'Operating system', 'C++', 'Linux']",archive (5)/data/data/FITNESS/17576030.pdf
Nyla Schwartz,10-01-1971,nyla.schwartz@bilearner.com,770.213.3917,United States,"Port St. Lucie, Florida",67648 Jay Brooks Apt. 361,Bachelors,Female,7521,"['budgeting', 'public relations', 'trend analysis', 'leadership', 'base', 'research', 'strategic partnerships', 'marketing', 'market research', 'strategic planning', 'creativity', 'sales', 'event planning', 'team building']",archive (5)/data/data/APPAREL/19714635.pdf
Taryn Black,28-02-1984,taryn.black@bilearner.com,915.240.4302,United States,"Baton Rouge, Louisiana",97821 Schneider Square Suite 753,Bachelors,Female,9394,"['Python', 'Numpy', 'Tensorflow', 'OS', 'C++']",archive (5)/data/data/DESIGNER/34511655.pdf
Karley Novak,07-11-1977,karley.novak@bilearner.com,231.400.7615x47428,United States,"Mobile, Alabama",1284 Misty Centers,Masters,Female,14720,"['bi', 'training']",archive (5)/data/data/ACCOUNTANT/38847011.pdf
Payten Harvey,21-02-1976,payten.harvey@bilearner.com,(380)492-0159x5974,United States,"Nashville, Tennessee",81394 Liu Lock,Masters,Male,85605,"['communication', 'public relations', 'leadership', 'base', 'operational efficiency', 'coaching', 'marketing', 'community engagement', 'program development', 'conflict resolution', 'training', 'sales']",archive (5)/data/data/FITNESS/34792238.pdf
Reagan Atkinson,03-06-1956,reagan.atkinson@bilearner.com,(464)480-9869x801,United States,"Atlanta, Georgia",59197 Hickman Mount Apt. 703,Bachelors,Male,38286,"['ar', 'communication', 'customer relations', 'gpa', 'excel', 'research', 'resource planning', 'market research', 'resource management', 'active listening', 'training', 'sales', 'organizational skills', 'customer service']",archive (5)/data/data/HR/32977530.pdf
Rey Werner,24-04-1973,rey.werner@bilearner.com,423-456-6282,United States,"Reno, Nevada",9611 Makayla Summit Suite 790,Bachelors,Male,59836,"['communication', 'excel', 'base', 'research', 'problem solving', 'marketing', 'business development', 'sales', 'customer service']",archive (5)/data/data/APPAREL/17714174.pdf
Kendall Mcintyre,27-02-1943,kendall.mcintyre@bilearner.com,001-766-823-8423x79367,United States,"Denver, Colorado",81371 Smith Valleys Apt. 278,Bachelors,Male,25767,"['public relations', 'networking', 'google analytics', 'media relations', 'marketing', 'training', 'sales', 'customer service']",archive (5)/data/data/DIGITAL-MEDIA/18927233.pdf
Anahi Frye,31-12-1993,anahi.frye@bilearner.com,406-318-9505x7575,United States,"San Diego, California",9077 Kimberly Stream,Bachelors,Male,19689,"['communication', 'gpa', 'chef', 'leadership', 'problem solving', 'project management', 'event management', 'business development', 'client relations', 'training', 'sales']",archive (5)/data/data/HR/26780935.pdf
Dalia Booth,26-07-1997,dalia.booth@bilearner.com,962-421-9092x5214,United States,"Omaha, Nebraska",0026 Elliott Green,Masters,Female,19035,"['time management', 'communication', 'excel', 'research', 'microsoft excel', 'sales', 'organizational skills']",archive (5)/data/data/DESIGNER/19164410.pdf
Charlee Navarro,02-09-1971,charlee.navarro@bilearner.com,(993)256-2589,United States,"Pittsburgh, Pennsylvania",197 Larry Path,Bachelors,Female,61793,"['Training', 'CAD', 'cad', 'Monitoring', 'Sales', 'Research', 'base', 'Excel', 'Automation', 'negotiation', 'marketing', 'supply chain Management', 'training', 'sales', 'customer service']",archive (5)/data/data/FITNESS/56286525.pdf
Karter Perry,17-01-1943,karter.perry@bilearner.com,(489)494-9663x784,United States,"Virginia Beach, Virginia",99508 Lynn Trail Suite 720,Bachelors,Male,91193,"['excel', 'change management', 'leadership', 'risk management', 'coaching', 'marketing', 'sales', 'business development', 'collaboration', 'regulatory compliance', 'training', 'gpa', 'sales management']",archive (5)/data/data/HEALTHCARE/75297735.pdf
Sariah Little,14-07-1955,sariah.little@bilearner.com,+1-538-333-4248x33976,United States,"Fremont, California",59438 Theresa Spurs Suite 868,Bachelors,Male,11058,"['communication', 'unix', 'disaster recovery planning', 'security', 'team leadership', 'change management', 'budgeting', 'database management', 'excel', 'networking', 'leadership', 'research', 'strategic planning', 'data analysis', 'training', 'customer service']",archive (5)/data/data/INFORMATION-TECHNOLOGY/26801767.pdf
Antoine Murray,15-09-1943,antoine.murray@bilearner.com,(686)675-9481x0316,United States,"Riverside, California",00326 Melanie Springs,Masters,Female,48133,"['mentoring', 'leadership development', 'chef', 'leadership', 'base', 'training']",archive (5)/data/data/CHEF/21511817.pdf
Summer Huang,20-03-1993,summer.huang@bilearner.com,258.799.0771,United States,"Corpus Christi, Texas",1065 Michael Port,Bachelors,Male,14776,"['communication', 'time management', 'team leadership', 'empathy', 'leadership', 'problem solving', 'interpersonal skills', 'client relations', 'sales', 'customer service']",archive (5)/data/data/DESIGNER/15471999.pdf
Jaylyn Contreras,01-07-1996,jaylyn.contreras@bilearner.com,256.828.3219x2309,United States,"Wichita, Kansas",3939 Regina Springs,Bachelors,Female,87985,"['negotiation skills', 'communication', 'budgeting', 'leadership', 'influencing', 'behavioral interviewing', 'research', 'negotiation', 'marketing', 'coaching', 'project management', 'business development', 'ml', 'san', 'training', 'sales', 'storage area network']",archive (5)/data/data/HEALTHCARE/10480456.pdf
Brenna York,06-10-1990,brenna.york@bilearner.com,921-282-4816,United States,"Fort Wayne, Indiana",9238 Harris Burg Apt. 194,Masters,Female,26846,"['mentoring', 'strategic thinking', 'leadership development', 'leadership', 'interpersonal skills', 'employee relations', 'public speaking', 'project management', 'organizational leadership', 'data analysis', 'training']",archive (5)/data/data/FINANCE/86549455.pdf
Braden Wiggins,05-12-1996,braden.wiggins@bilearner.com,880.703.0916,United States,"Stockton, California",887 Richardson Fields Suite 310,Masters,Female,66281,"['SQL', 'ETL', 'Unix']",archive (5)/data/data/ACCOUNTANT/36024962.pdf
Nola Bullock,06-05-1974,nola.bullock@bilearner.com,291.649.2449x166,United States,"Tampa, Florida",58724 Eddie Turnpike,Bachelors,Female,97050,"['performance management', 'organizational development', 'security', 'excel', 'communication', 'adaptability', 'teamwork', 'networking', 'interpersonal skills', 'marketing', 'employee relations', 'decision making', 'resource management', 'training', 'sales', 'customer service', 'team building']",archive (5)/data/data/HR/39650734.pdf
Kaleigh Keller,17-02-1983,kaleigh.keller@bilearner.com,364.276.7561x55508,United States,"Salt Lake City, Utah",98479 Jeffrey Fort,Masters,Female,14808,['communication'],archive (5)/data/data/CHEF/28092317.pdf
Milagros Jimenez,24-08-1960,milagros.jimenez@bilearner.com,001-674-239-6940x987,United States,"Augusta, Georgia",948 Rita Extension,Masters,Male,53839,"['communication', 'gpa', 'excel', 'marketing', 'sales']",archive (5)/data/data/FITNESS/30990885.pdf
Timothy Goodwin,25-08-1953,timothy.goodwin@bilearner.com,001-637-966-6619,United States,"Dallas, Texas",5700 Thompson Row,Masters,Female,43609,"['xml', 'gpa', 'excel', 'html', 'networking', 'javascript', 'problem solving', 'microsoft excel', 'project management', 'scripting', 'training', 'java', 'css']",archive (5)/data/data/CONSTRUCTION/33141415.pdf
Reese Kennedy,22-07-1944,reese.kennedy@bilearner.com,725-861-9443x896,United States,"Little Rock, Arkansas",61349 Dalton Skyway Suite 923,Bachelors,Female,83442,"['communication', 'time management', 'excel', 'team leadership', 'leadership', 'research', 'interpersonal skills', 'writing skills', 'attention to detail', 'decision making', 'sales', 'customer service']",archive (5)/data/data/ADVOCATE/29926588.pdf
Mariam Doyle,29-07-1959,mariam.doyle@bilearner.com,+1-804-702-9772x7364,United States,"Des Moines, Iowa",643 Green Turnpike Apt. 009,Masters,Female,6820,"['communication', 'monitoring', 'teamwork', 'training', 'organizational skills']",archive (5)/data/data/AGRICULTURE/10953078.pdf
Clinton Brennan,31-03-1950,clinton.brennan@bilearner.com,421-429-7655x39421,United States,"San Francisco, California",2887 Fernando Fall Apt. 709,Bachelors,Female,50782,"['SLA', 'Training', 'go', 'KPI', 'Excel', 'project management', 'Resource Management', 'training', 'Project Management']",archive (5)/data/data/HR/18316239.pdf
Maximilian Moyer,16-09-1987,maximilian.moyer@bilearner.com,270-757-0046x4613,United States,"Modesto, California",31853 Brown Points Apt. 107,Masters,Male,59893,"['communication', 'disaster recovery planning', 'linux', 'html', 'leadership', 'base', 'research', 'interpersonal skills', 'virtual machine', 'problem solving', 'sales', 'organizational leadership', 'training', 'css', 'os']",archive (5)/data/data/INFORMATION-TECHNOLOGY/28897981.pdf
Salvador Robinson,31-01-1952,salvador.robinson@bilearner.com,001-296-874-6085x27259,United States,"Oxnard, California",8353 Casey Wells,Masters,Male,84707,"['security', 'training']",archive (5)/data/data/AVIATION/10567764.pdf
Ahmed Mcmahon,30-05-2000,ahmed.mcmahon@bilearner.com,(276)844-6763x87966,United States,"Sacramento, California",37182 Guerrero Land Suite 840,Bachelors,Male,59104,"['public relations', 'leadership', 'media relations', 'writing skills', 'marketing', 'training', 'stakeholder engagement']",archive (5)/data/data/CONSULTANT/32637306.pdf
Junior York,10-03-1992,junior.york@bilearner.com,001-370-654-2462,United States,"Hialeah, Florida",65193 Gray View,Masters,Female,61932,"['communication', 'security', 'gpa', 'research', 'decision making', 'san', 'conflict resolution', 'training', 'sales', 'organizational skills', 'customer service']",archive (5)/data/data/ADVOCATE/28206098.pdf
Marilyn Wiley,22-10-1982,marilyn.wiley@bilearner.com,232.220.6350,United States,"Las Vegas, Nevada",59736 David Gateway,Masters,Female,62911,"['communication', 'excel', 'team leadership', 'budgeting', 'public relations', 'leadership', 'base', 'research', 'interpersonal skills', 'marketing', 'project management', 'decision making', 'business development', 'problem solving', 'training', 'sales', 'team building']",archive (5)/data/data/BUSINESS-DEVELOPMENT/90629382.pdf
Selena Hebert,09-08-1962,selena.hebert@bilearner.com,561-590-2121x957,United States,"Anaheim, California",86344 Wilson Haven,Masters,Female,51977,"['Blockchain', 'API', 'blockchain', 'AWS', 'problem solving', 'Microservices', 'Supply chain Management', 'Docker']",archive (5)/data/data/BANKING/39569771.pdf
Selena Adkins,02-11-1958,selena.adkins@bilearner.com,357-222-3836x204,United States,"Tulsa, Oklahoma",9681 Woodward Mission,Bachelors,Male,90110,"['ar', 'time management', 'communication', 'customer relations', 'excel', 'research', 'attention to detail', 'training']",archive (5)/data/data/AGRICULTURE/23631188.pdf
Erica Sloan,10-10-1983,erica.sloan@bilearner.com,+1-492-619-7805x89251,United States,"Oklahoma City, Oklahoma",4390 Nguyen Unions,Bachelors,Female,2573,"['critical thinking', 'communication', 'excel', 'budgeting', 'monitoring', 'research', 'problem solving', 'marketing', 'r', 'collaboration', 'resource management', 'training', 'organizational skills']",archive (5)/data/data/ACCOUNTANT/22925443.pdf
Payton Nolan,14-06-1960,payton.nolan@bilearner.com,597-838-1568,United States,"Corpus Christi, Texas",423 Rodney Lake,Bachelors,Male,2433,"['communication', 'sales', 'public speaking', 'customer service']",archive (5)/data/data/SALES/17378327.pdf
Leticia Parks,23-11-1944,leticia.parks@bilearner.com,421.938.5239x74499,United States,"Miami, Florida",95438 Espinoza Rest,Bachelors,Female,16691,"['excel', 'javascript', 'agile', 'etl', 'bi', 'vm', 'sdlc', 'unix', 'business intelligence', 'training', 'sql', 'communication', 'change management', 'software development life cycle', 'collaboration', 'java', 'go', 'html', 'tableau']",archive (5)/data/data/CONSULTANT/30863060.pdf
Carolyn Sosa,22-12-1991,carolyn.sosa@bilearner.com,349-868-0192,United States,"Tacoma, Washington",093 Travis Meadow Apt. 309,Masters,Female,28545,"['BI', 'base', 'SQL', 'Power BI', 'security', 'Editing', 'Go']",archive (5)/data/data/CHEF/23032276.pdf
German Higgins,19-12-1956,german.higgins@bilearner.com,+1-805-317-7743x8661,United States,"Huntsville, Alabama",9442 Kathy Radial Suite 754,Bachelors,Female,87440,"['public speaking', 'sales', 'excel', 'training']",archive (5)/data/data/DIGITAL-MEDIA/18905648.pdf
Heath Romero,08-04-1988,heath.romero@bilearner.com,(383)271-5177,United States,"Little Rock, Arkansas",53541 Samantha Point,Bachelors,Female,10486,"['excel', 'decision making', 'Project Management', 'automation', 'Automation', 'Resource management', 'training', 'organizational skills', 'SLA', 'time management', 'communication', 'Budgeting', 'leadership', 'project management', 'collaboration', 'resource management', 'Leadership', 'Strategic thinking', 'SDLC', 'Risk Management', 'stakeholder engagement', 'Analytical skills']",archive (5)/data/data/ACCOUNTANT/25862026.pdf
Davion Friedman,10-12-1943,davion.friedman@bilearner.com,001-384-552-0656x00336,United States,"Riverside, California",570 Lewis Fort Apt. 068,Masters,Male,59652,"['communication', 'excel', 'teamwork', 'base', 'training', 'customer service']",archive (5)/data/data/ADVOCATE/15727656.pdf
Danny Thomas,08-04-1973,danny.thomas@bilearner.com,707.560.0306x687,United States,"Detroit, Michigan",21841 Linda Fork Suite 968,Masters,Male,87927,"['communication', 'excel', 'html', 'research', 'interpersonal skills', 'microsoft excel', 'marketing', 'collaboration', 'business development', 'sales', 'editing', 'css']",archive (5)/data/data/DESIGNER/21283733.pdf
Matthias Dunlap,11-09-1979,matthias.dunlap@bilearner.com,629-938-6628,United States,"Chicago, Illinois",16648 Lopez Drives Apt. 524,Bachelors,Female,47596,"['problem solving', 'employee relations', 'attention to detail', 'sales', 'marketing', 'training', 'gpa', 'customer service']",archive (5)/data/data/FITNESS/32517106.pdf
Sawyer Little,19-11-1953,sawyer.little@bilearner.com,+1-641-808-9559x595,United States,"Glendale, California",9483 Walton Villages,Masters,Female,46287,"['excel', 'team leadership', 'budgeting', 'analytical skills', 'leadership', 'training', 'sales']",archive (5)/data/data/FINANCE/20275356.pdf
Uriel Brennan,25-12-1975,uriel.brennan@bilearner.com,421-429-7655x39421,United States,"Anaheim, California",6596 Williams Lodge,Masters,Female,87401,"['network security', 'monitoring', 'problem solving', 'Security', 'security', 'Monitoring']",archive (5)/data/data/HR/29564653.pdf
Gretchen Richards,28-05-1994,gretchen.richards@bilearner.com,001-442-301-4674x069,United States,"Spokane, Washington",0864 White Isle Suite 305,Masters,Male,40201,"['communication', 'gpa', 'excel', 'monitoring', 'leadership', 'research', 'training', 'sales', 'customer service']",archive (5)/data/data/DESIGNER/11155153.pdf
